area_name_en,property_type_en,median_price,meter_sale_price,price_per_sqm,sale_count,growth_stage,median_rent,meter_rent_price,rent_count,rental_yield,growth_stage_encoded,cluster_id,cluster_label
Abu Hail,Building,1300000.0,4305.52,6340.082859287472,79,,7000000.0,30138.64,2,5.3846,,4,"Cluster 4: Yield 521.0%, Price AED 5035274, Stage ~ 0.0."
Abu Hail,Villa,1150000.0,4403.845,4804.999719524799,462,,3300000.0,2653.18,3,2.8696,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Bada,Building,2712500.0,10410.61,16074.700416244175,158,,,,2,,,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Al Bada,Land,3150000.0,8611.085,10777.43481830095,36,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Bada,Villa,2500023.0,7175.94,9100.844608281488,387,,2000000.0,7688.46,8,0.8,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Baraha,Building,4664000.0,21605.29,24304.65958944362,178,,,,2,,,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Al Baraha,Villa,1725000.0,3181.255,5621.455184712303,40,,6000000.0,19118.63,3,3.4783,,4,"Cluster 4: Yield 521.0%, Price AED 5035274, Stage ~ 0.0."
Al Barsha First,Building,12377935.0,7292.55,16840.572496274217,306,,,,2,,,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Al Barsha First,Unit,1055888.0,13822.735,12727.91165517515,162,,960000.0,7843.78,5,0.9092,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha First,Villa,7777696.0,2906.26,4815.200789764776,65,,,,4,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha Second,Building,4425000.0,3534.14,4394.823806217366,98,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha Second,Land,3394700.0,2888.31,2556.6802735234533,160,,2795000.0,2005.67,4,0.8233,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha Second,Villa,2487500.0,1829.86,2600.160309831213,408,,5621625.0,4034.035,24,2.2599,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha South Fifth,Land,4252000.0,3870.23,5591.485997188093,144,Off-Plan or Launch,4900000.0,9074.07,2,1.1524,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha South Fifth,Unit,774249.0,10218.72,10127.337959236473,1313,Maturity,784000.0,7681.94,146,1.0126,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Al Barsha South Fifth,Villa,1790000.0,4701.96,5142.918993529174,1695,Off-Plan or Launch,1683000.0,3691.16,812,0.9402,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha South Fourth,Building,12787514.0,4843.79,8019.125232168597,151,Off-Plan or Launch,46550000.0,21594.61,8,3.6403,0.0,4,"Cluster 4: Yield 521.0%, Price AED 5035274, Stage ~ 0.0."
Al Barsha South Fourth,Land,9081403.0,4236.44,6351.498416808247,499,Off-Plan or Launch,,,1,,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha South Fourth,Unit,660000.0,9501.04,9902.835506017413,14270,Off-Plan or Launch,619040.0,7037.3,1650,0.9379,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha South Fourth,Villa,2000000.0,9666.5,10052.071554184766,2304,Off-Plan or Launch,1700000.0,7000.0,714,0.85,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha Third,Building,3150000.0,2529.51,3653.972798237293,65,,7700000.0,5525.46,1,2.4444,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Barsha Third,Land,3275785.0,2518.75,3757.478128598053,205,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
